name,note,active,days,items
"Early Morning","Morning","yes","Mon, Tue, Wed, Thu, Fri","Brush teeth and face wash | Nasal rinse + Flonase | Thyroid medicine | 15 minute workout - running, surya namaskar, core workout | 10 minute meditation"
"Morning","Home","yes","Mon, Tue, Wed, Thu, Fri","Prepare breakfast | Wake up Nona | Love and hugs time for Shashu | Eat breakfast - 8.15 am"
"Work Start","Work","yes","Mon, Tue, Wed, Thu, Fri","Take bath, get ready | Leave for work by 9.10 am | Plan goals for the week and today"
"Work Flow","Work","yes","Mon, Tue, Wed, Thu, Fri","Deep work blocks | Wrap up at 4 | Leave desk by 4.30"
"Evening","Family","yes","Mon, Tue, Wed, Thu, Fri","Pick up shashwat | Gym @ 6 pm | Dinner with shashwat @ 7.30 pm | Play with shashwat till 9 pm"
"Evening Reset","Reset","yes","Mon, Tue, Wed, Thu, Fri, Sat, Sun","Kitchen reset and meals planned for next day | Clothing for all for next day work / workout | Out the door stuff like car key, ID, etc set | Plan for next day"
"Evening Reset - Self","Reset","yes","Mon, Tue, Wed, Thu, Fri, Sat, Sun","Set out workout clothes, socks | Fill gym water bottle | Soak methi seeds | Put iron tablets on the dining table | Office bag - car keys, laptop, wallet, office ID | Face wash + toothbrush | Set out work clothes | Take magnesium, prenatal, iron | Shoulder neck mobility | Reflect on today"
"Evening Reset - Shashu","School Prep","yes","Mon, Tue, Wed, Thu","School clothes | Mondays - Blanket, refill spare clothes | Water bottle"
"Evening Reset - Friday Prep","School Prep","yes","Fri","Friday - Show n tell"
"Evening Reset - Kitchen","Kitchen","yes","Mon, Tue, Wed, Thu, Fri, Sat, Sun","Plan tomorrow's lunch | Plan tomorrow's dinner | The Clear Sink Rule - load dishwasher and wipe counters | Breakfast pre-set - clean the dining table, set out plates etc | Warm water - put saucepan with 1 glass water on gas | Breakfast prep | Chop veggies / prep batter | Keep veggies to be air-fried ready to put in air fryer - cut with oil, masala"
"Evening Reset - Brain Dump","Planning","yes","Mon, Tue, Wed, Thu, Fri, Sat, Sun","Tomorrow's top 3 | Worry list - write it down | Schedule check - confirm with Deovrat on schedule and breakfast option"
